rank,Freq
803,651079
804,650530
805,649129
806,647506
807,647410
808,646393
809,646283
810,645186
811,644449
812,643407
813,642552
814,642202
815,642090
816,641733
817,640585
818,640361
819,639743
820,639662
821,639126
822,638674
823,638467
824,637357
825,637347
826,636625
827,636244
828,635870
829,635411
830,633820
831,633811
832,632166
833,631453
834,631442
835,631110
836,631052
837,629682
838,629260
839,628692
840,628459
841,628432
842,628346
843,627897
844,627455
845,626862
846,626760
847,626663
848,625890
849,625837
850,625824
851,624146
852,623894
853,623644
854,622398
855,622287
856,621694
857,620800
858,620630
859,619119
860,615859
861,615806
862,615759
863,614790
864,614571
865,614015
866,612880
867,612321
868,612247
869,611806
870,610020
871,609930
872,607531
873,606799
874,606616
875,606263
876,605882
877,605586
878,605399
879,605136
880,603634
881,602459
882,602427
883,602260
884,601574
885,600433
886,600251
887,600113
888,599208
889,598979
890,598368
891,596869
892,595675
893,594450
894,594261
895,593981
896,593758
897,592759
898,590480
899,589849
900,589457
901,588778
902,586129
903,585825
904,585825
905,585287
906,585246
907,584693
908,584669
909,583836
910,583279
911,582777
912,581949
913,581798
914,581771
915,581760
916,580847
917,579577
918,579260
919,578829
920,577180
921,575879
922,575806
923,575617
924,573517
925,572218
926,571888
927,571706
928,571287
929,570504
930,570264
931,569996
932,568804
933,568599
934,568563
935,568421
936,567757
937,565832
938,564764
939,564745
940,564347
941,564270
942,563779
943,563600
944,562577
945,562008
946,559693
947,558965
948,558710
949,558182
950,557632
951,557567
952,557544
953,556499
954,556450
955,555886
956,555793
957,555753
958,555469
959,555350
960,555332
961,554922
962,554887
963,554700
964,553973
965,553694
966,553576
967,553572
968,553318
969,553224
970,552922
971,552354
972,551987
973,551540
974,549770
975,548745
976,547396
977,547352
978,547190
979,546962
980,546574
981,546487
982,545987
983,544259
984,543853
985,543195
986,543058
987,542824
988,542578
989,542285
990,542198
991,542115
992,540947
993,540637
994,540502
995,539906
996,539893
997,537757
998,537501
999,537167
1000,536498
1001,536473
1002,536422
1003,536303
1004,536298
1005,536285
1006,535191
1007,534608
1008,534307
1009,534290
1010,533731
1011,533572
1012,533434
1013,532703
1014,531831
1015,531047
